model,sim_id,PC_MAE_K,PC_rel_L2,PC_P95_K,n_eutectic_points
MLP,Flange_p993_m403_v04,43.42733383178711,0.05673476308584213,83.11402893066406,1101174
MLP,Flange_p1033_m403_v07,13.700448036193848,0.01719198189675808,23.02972412109375,617423
MLP,Flange_p993_m303_v09,5.016469955444336,0.00766610587015748,13.6773681640625,615234
MLP,Flange_p953_m303_v10,19.59200668334961,0.023509493097662926,30.1756591796875,1030649
MLP,Flange_p953_m303_v09,13.029011726379395,0.017289945855736732,27.354084014892578,603272
MLP,Flange_p953_m403_v03,108.72743225097656,0.1279609352350235,133.66847229003906,529732
MLP,Flange_p1033_m353_v06,6.233217239379883,0.009027669206261635,13.700210571289062,635839
MLP,Flange_p993_m353_v02,7.116631984710693,0.009262206964194775,13.926513671875,1410205
MLP,Flange_p1033_m303_v07,13.690497398376465,0.016774125397205353,22.255817413330078,516337
MLP,Flange_p953_m353_v04,2.9296722412109375,0.0045194136910140514,8.18393325805664,989170
MLP,Flange_p953_m353_v07,20.30946922302246,0.024095866829156876,27.93048095703125,542056
MLP,Flange_p973_m353_v05,13.893818855285645,0.01786896586418152,28.26141357421875,609781
MLP,Flange_p1033_m303_v02,16.121137619018555,0.01937631145119667,24.83575439453125,1328777
MLP,Flange_p1013_m303_v10,14.316170692443848,0.017467014491558075,23.592742919921875,1072071
MLP,Flange_p1013_m353_v03,21.93995475769043,0.029668277129530907,48.595306396484375,498476
U-Net,Flange_p993_m403_v04,1.333916187286377,0.0019343543099239469,3.19329833984375,1101174
U-Net,Flange_p1033_m403_v07,5.327329158782959,0.0072620282880961895,11.61285400390625,617423
U-Net,Flange_p993_m303_v09,1.366256833076477,0.001981223002076149,3.311542510986328,615234
U-Net,Flange_p953_m303_v10,2.0867252349853516,0.0035198500845581293,6.93994140625,1030649
U-Net,Flange_p953_m303_v09,1.3993040323257446,0.0022173170000314713,4.0982666015625,603272
U-Net,Flange_p953_m403_v03,2.3555541038513184,0.003670697333291173,6.694572448730469,529732
U-Net,Flange_p1033_m353_v06,3.236978530883789,0.0046796975657343864,7.512592315673828,635839
U-Net,Flange_p993_m353_v02,1.5921094417572021,0.002589828334748745,4.7466888427734375,1410205
U-Net,Flange_p1033_m303_v07,2.8191139698028564,0.004471863154321909,8.461875915527344,516337
U-Net,Flange_p953_m353_v04,1.28144371509552,0.0022177835926413536,4.382907867431641,989170
U-Net,Flange_p953_m353_v07,3.0065596103668213,0.004593944177031517,8.13104248046875,542056
U-Net,Flange_p973_m353_v05,1.1689471006393433,0.0020308990497142076,3.961669921875,609781
U-Net,Flange_p1033_m303_v02,1.9928072690963745,0.0033320640213787556,6.63348388671875,1328777
U-Net,Flange_p1013_m303_v10,1.9173321723937988,0.0030066014733165503,5.5570068359375,1072071
U-Net,Flange_p1013_m353_v03,1.791061520576477,0.0030440499540418386,5.8516082763671875,498476
