model,sim_id,PC_MAE_K,PC_rel_L2,PC_P95_K,n_eutectic_points
MLP,Stepped_Block_p993_m403_v04,66.7943344116211,0.07778410613536835,75.02790832519531,1077515
MLP,Stepped_Block_p1033_m403_v07,32.6219367980957,0.039425626397132874,44.56805419921875,1106503
MLP,Stepped_Block_p993_m303_v09,48.17059326171875,0.056613609194755554,61.5579948425293,1066557
MLP,Stepped_Block_p953_m303_v10,65.41030883789062,0.07677345722913742,81.87808227539062,928220
MLP,Stepped_Block_p953_m303_v09,66.65104675292969,0.0781201422214508,83.66706848144531,1045134
MLP,Stepped_Block_p953_m403_v03,81.56422424316406,0.09475544840097427,94.0111083984375,1191920
MLP,Stepped_Block_p1033_m353_v06,17.084941864013672,0.02144305780529976,28.045166015625,1195291
MLP,Stepped_Block_p993_m353_v02,54.1451301574707,0.06296567618846893,61.176395416259766,830804
MLP,Stepped_Block_p1033_m303_v07,5.293609619140625,0.00837767031043768,14.197021484375,958701
MLP,Stepped_Block_p953_m353_v04,70.5616683959961,0.08205103874206543,82.54742431640625,979761
MLP,Stepped_Block_p953_m353_v07,71.51419830322266,0.08310209959745407,82.15823364257812,1000196
MLP,Stepped_Block_p973_m353_v05,69.68119812011719,0.08106265962123871,81.206787109375,1288629
MLP,Stepped_Block_p1033_m303_v02,5.2661824226379395,0.008885030634701252,14.291229248046875,781589
MLP,Stepped_Block_p1013_m303_v10,24.94289779663086,0.03040241077542305,39.00628662109375,949547
MLP,Stepped_Block_p1013_m353_v03,37.43614959716797,0.04400986060500145,48.08995819091797,1119244
U-Net,Stepped_Block_p993_m403_v04,2.099862813949585,0.0033646277152001858,5.76898193359375,1077515
U-Net,Stepped_Block_p1033_m403_v07,1.9151030778884888,0.0030283520463854074,5.40423583984375,1106503
U-Net,Stepped_Block_p993_m303_v09,2.0717036724090576,0.0033534211106598377,6.0164794921875,1066557
U-Net,Stepped_Block_p953_m303_v10,4.311614513397217,0.00602875929325819,9.712104797363281,928220
U-Net,Stepped_Block_p953_m303_v09,2.3560755252838135,0.0036242802161723375,6.305927276611328,1045134
U-Net,Stepped_Block_p953_m403_v03,2.1028263568878174,0.0033840665128082037,5.8037109375,1191920
U-Net,Stepped_Block_p1033_m353_v06,2.3038926124572754,0.0037239764351397753,6.76983642578125,1195291
U-Net,Stepped_Block_p993_m353_v02,2.5255126953125,0.004167210776358843,7.37762451171875,830804
U-Net,Stepped_Block_p1033_m303_v07,2.3907976150512695,0.004004637245088816,7.53179931640625,958701
U-Net,Stepped_Block_p953_m353_v04,2.6364858150482178,0.004066490102559328,7.07904052734375,979761
U-Net,Stepped_Block_p953_m353_v07,1.848112940788269,0.0028563430532813072,4.9879150390625,1000196
U-Net,Stepped_Block_p973_m353_v05,1.825788140296936,0.0029610409401357174,5.1983642578125,1288629
U-Net,Stepped_Block_p1033_m303_v02,3.995258331298828,0.0066857850179076195,12.69888687133789,781589
U-Net,Stepped_Block_p1013_m303_v10,4.475527763366699,0.006727415136992931,12.021587371826172,949547
U-Net,Stepped_Block_p1013_m353_v03,2.137840747833252,0.003497959580272436,6.0419921875,1119244
